Time,corrente_na_carga,corrente_de_entrada
0.24499800000020369,0.66322201544031023,0.66661490905062237
0.24500000000020369,0.66343939317782485,0.6733033472983152
0.2450020000002037,0.66385873482044577,0.67998963970694604
0.2450040000002037,0.66447364736080539,0.68667249308873579
0.2450060000002037,0.66527789669311221,0.69335060004505067
0.2450080000002037,0.6662654039493292,0.70002273844238516
0.2450100000002037,0.66720234347326601,7.51754214434186e-006
0.24501200000020371,0.66797241098380578,7.51754214434186e-006
0.24501400000020371,0.66862047628134946,7.51754214434186e-006
0.24501600000020371,0.66910917203471398,7.51754214434186e-006
0.24501800000020371,0.66944337229008255,7.51754214434186e-006
0.24502000000020371,0.66962783106868973,7.51754214434186e-006
0.24502200000020372,0.66966718512488255,7.51754214434186e-006
0.24502400000020372,0.66956595664247753,7.51754214434186e-006
0.24502600000020372,0.66932855587077189,7.51754214434186e-006
0.24502800000020372,0.66895928370155,7.51754214434186e-006
0.24503000000020372,0.6684623341883873,7.51754214434186e-006
0.24503200000020373,0.6678417970095315,7.51754214434186e-006
0.24503400000020373,0.6671016598756081,7.51754214434186e-006
0.24503600000020373,0.66624581088337431,7.51754214434186e-006
0.24503800000020373,0.66527804081671227,7.51754214434186e-006
0.24504000000020373,0.66444667728527473,0.63986666987148055
0.24504200000020374,0.66384805856160845,0.64655077380848525
0.24504400000020374,0.66341954079037802,0.6532371799039538
0.24504600000020374,0.66321315726461005,0.65992571762762964
0.24504800000020374,0.66322201544031023,0.66661490905062237
0.24505000000020374,0.66343939317782485,0.6733033472983152
0.24505200000020375,0.66385873482044577,0.67998963970694604
0.24505400000020375,0.66447364736080539,0.68667249308873579
0.24505600000020375,0.66527789669311221,0.69335060004505067
0.24505800000020375,0.6662654039493292,0.70002273844238516
0.24506000000020375,0.66720234347326601,7.51754214434186e-006
0.24506200000020376,0.66797241098380578,7.51754214434186e-006
0.24506400000020376,0.66862047628134946,7.51754214434186e-006
0.24506600000020376,0.66910917203471398,7.51754214434186e-006
0.24506800000020376,0.66944337229008255,7.51754214434186e-006
0.24507000000020376,0.66962783106868973,7.51754214434186e-006
0.24507200000020377,0.66966718512488255,7.51754214434186e-006
0.24507400000020377,0.66956595664247753,7.51754214434186e-006
0.24507600000020377,0.66932855587077189,7.51754214434186e-006
0.24507800000020377,0.66895928370155,7.51754214434186e-006
0.24508000000020377,0.6684623341883873,7.51754214434186e-006
0.24508200000020378,0.6678417970095315,7.51754214434186e-006
0.24508400000020378,0.6671016598756081,7.51754214434186e-006
0.24508600000020378,0.66624581088337431,7.51754214434186e-006
0.24508800000020378,0.66527804081671227,7.51754214434186e-006
0.24509000000020378,0.66444667728527473,0.63986666987148055
0.24509200000020379,0.66384805856160845,0.64655077380848525
0.24509400000020379,0.66341954079037802,0.6532371799039538
0.24509600000020379,0.66321315726461005,0.65992571762762964
0.24509800000020379,0.66322201544031023,0.66661490905062237
0.24510000000020379,0.66343939317782485,0.6733033472983152
0.2451020000002038,0.66385873482044577,0.67998963970694604
0.2451040000002038,0.66447364736080539,0.68667249308873579
0.2451060000002038,0.66527789669311221,0.69335060004505067
0.2451080000002038,0.6662654039493292,0.70002273844238516
0.2451100000002038,0.66720234347326601,7.51754214434186e-006
0.24511200000020381,0.66797241098380578,7.51754214434186e-006
0.24511400000020381,0.66862047628134946,7.51754214434186e-006
0.24511600000020381,0.66910917203471398,7.51754214434186e-006
0.24511800000020381,0.66944337229008255,7.51754214434186e-006
0.24512000000020381,0.66962783106868973,7.51754214434186e-006
0.24512200000020382,0.66966718512488255,7.51754214434186e-006
0.24512400000020382,0.66956595664247753,7.51754214434186e-006
0.24512600000020382,0.66932855587077189,7.51754214434186e-006
0.24512800000020382,0.66895928370155,7.51754214434186e-006
0.24513000000020382,0.6684623341883873,7.51754214434186e-006
0.24513200000020383,0.6678417970095315,7.51754214434186e-006
0.24513400000020383,0.6671016598756081,7.51754214434186e-006
0.24513600000020383,0.66624581088337431,7.51754214434186e-006
0.24513800000020383,0.66527804081671227,7.51754214434186e-006
0.24514000000020383,0.66444667728527473,0.63986666987148055
0.24514200000020384,0.66384805856160845,0.64655077380848525
0.24514400000020384,0.66341954079037802,0.6532371799039538
0.24514600000020384,0.66321315726461005,0.65992571762762964
0.24514800000020384,0.66322201544031023,0.66661490905062237
0.24515000000020384,0.66343939317782485,0.6733033472983152
0.24515200000020385,0.66385873482044577,0.67998963970694604
0.24515400000020385,0.66447364736080539,0.68667249308873579
0.24515600000020385,0.66527789669311221,0.69335060004505067
0.24515800000020385,0.6662654039493292,0.70002273844238516
0.24516000000020385,0.66720234347326601,7.51754214434186e-006
0.24516200000020386,0.66797241098380578,7.51754214434186e-006
0.24516400000020386,0.66862047628134946,7.51754214434186e-006
0.24516600000020386,0.66910917203471398,7.51754214434186e-006
0.24516800000020386,0.66944337229008255,7.51754214434186e-006
0.24517000000020386,0.66962783106868973,7.51754214434186e-006
0.24517200000020387,0.66966718512488255,7.51754214434186e-006
0.24517400000020387,0.66956595664247753,7.51754214434186e-006
0.24517600000020387,0.66932855587077189,7.51754214434186e-006
0.24517800000020387,0.66895928370155,7.51754214434186e-006
0.24518000000020387,0.6684623341883873,7.51754214434186e-006
0.24518200000020388,0.6678417970095315,7.51754214434186e-006
0.24518400000020388,0.6671016598756081,7.51754214434186e-006
0.24518600000020388,0.66624581088337431,7.51754214434186e-006
0.24518800000020388,0.66527804081671227,7.51754214434186e-006
0.24519000000020388,0.66444667728527473,0.63986666987148055
0.24519200000020389,0.66384805856160845,0.64655077380848525
0.24519400000020389,0.66341954079037802,0.6532371799039538
0.24519600000020389,0.66321315726461005,0.65992571762762964
0.24519800000020389,0.66322201544031023,0.66661490905062237
0.24520000000020389,0.66343939317782485,0.6733033472983152
0.2452020000002039,0.66385873482044577,0.67998963970694604
0.2452040000002039,0.66447364736080539,0.68667249308873579
0.2452060000002039,0.66527789669311221,0.69335060004505067
0.2452080000002039,0.6662654039493292,0.70002273844238516
0.2452100000002039,0.66720234347326601,7.51754214434186e-006
0.24521200000020391,0.66797241098380578,7.51754214434186e-006
0.24521400000020391,0.66862047628134946,7.51754214434186e-006
0.24521600000020391,0.66910917203471398,7.51754214434186e-006
0.24521800000020391,0.66944337229008255,7.51754214434186e-006
0.24522000000020391,0.66962783106868973,7.51754214434186e-006
0.24522200000020392,0.66966718512488255,7.51754214434186e-006
0.24522400000020392,0.66956595664247753,7.51754214434186e-006
0.24522600000020392,0.66932855587077189,7.51754214434186e-006
0.24522800000020392,0.66895928370155,7.51754214434186e-006
0.24523000000020392,0.6684623341883873,7.51754214434186e-006
0.24523200000020393,0.6678417970095315,7.51754214434186e-006
0.24523400000020393,0.6671016598756081,7.51754214434186e-006
0.24523600000020393,0.66624581088337431,7.51754214434186e-006
0.24523800000020393,0.66527804081671227,7.51754214434186e-006
0.24524000000020393,0.66444667728527473,0.63986666987148055
0.24524200000020394,0.66384805856160845,0.64655077380848525
0.24524400000020394,0.66341954079037802,0.6532371799039538
0.24524600000020394,0.66321315726461005,0.65992571762762964
0.24524800000020394,0.66322201544031023,0.66661490905062237
0.24525000000020394,0.66343939317782485,0.6733033472983152
0.24525200000020395,0.66385873482044577,0.67998963970694604
0.24525400000020395,0.66447364736080539,0.68667249308873579
0.24525600000020395,0.66527789669311221,0.69335060004505067
0.24525800000020395,0.6662654039493292,0.70002273844238516
0.24526000000020395,0.66720234347326601,7.51754214434186e-006
0.24526200000020396,0.66797241098380578,7.51754214434186e-006
0.24526400000020396,0.66862047628134946,7.51754214434186e-006
0.24526600000020396,0.66910917203471398,7.51754214434186e-006
0.24526800000020396,0.66944337229008255,7.51754214434186e-006
0.24527000000020396,0.66962783106868973,7.51754214434186e-006
0.24527200000020397,0.66966718512488255,7.51754214434186e-006
0.24527400000020397,0.66956595664247753,7.51754214434186e-006
0.24527600000020397,0.66932855587077189,7.51754214434186e-006
0.24527800000020397,0.66895928370155,7.51754214434186e-006
0.24528000000020397,0.6684623341883873,7.51754214434186e-006
0.24528200000020398,0.6678417970095315,7.51754214434186e-006
0.24528400000020398,0.6671016598756081,7.51754214434186e-006
0.24528600000020398,0.66624581088337431,7.51754214434186e-006
0.24528800000020398,0.66527804081671227,7.51754214434186e-006
0.24529000000020398,0.66444667728527473,0.63986666987148055
0.24529200000020399,0.66384805856160845,0.64655077380848525
0.24529400000020399,0.66341954079037802,0.6532371799039538
0.24529600000020399,0.66321315726461005,0.65992571762762964
0.24529800000020399,0.66322201544031023,0.66661490905062237
0.24530000000020399,0.66343939317782485,0.6733033472983152
0.245302000000204,0.66385873482044577,0.67998963970694604
0.245304000000204,0.66447364736080539,0.68667249308873579
0.245306000000204,0.66527789669311221,0.69335060004505067
0.245308000000204,0.6662654039493292,0.70002273844238516
0.245310000000204,0.66720234347326601,7.51754214434186e-006
0.24531200000020401,0.66797241098380578,7.51754214434186e-006
0.24531400000020401,0.66862047628134946,7.51754214434186e-006
0.24531600000020401,0.66910917203471398,7.51754214434186e-006
0.24531800000020401,0.66944337229008255,7.51754214434186e-006
0.24532000000020401,0.66962783106868973,7.51754214434186e-006
0.24532200000020402,0.66966718512488255,7.51754214434186e-006
0.24532400000020402,0.66956595664247753,7.51754214434186e-006
0.24532600000020402,0.66932855587077189,7.51754214434186e-006
0.24532800000020402,0.66895928370155,7.51754214434186e-006
0.24533000000020402,0.6684623341883873,7.51754214434186e-006
0.24533200000020403,0.6678417970095315,7.51754214434186e-006
0.24533400000020403,0.6671016598756081,7.51754214434186e-006
0.24533600000020403,0.66624581088337431,7.51754214434186e-006
0.24533800000020403,0.66527804081671227,7.51754214434186e-006
0.24534000000020403,0.66444667728527473,0.63986666987148055
0.24534200000020404,0.66384805856160845,0.64655077380848525
0.24534400000020404,0.66341954079037802,0.6532371799039538
0.24534600000020404,0.66321315726461005,0.65992571762762964
0.24534800000020404,0.66322201544031023,0.66661490905062237
0.24535000000020404,0.66343939317782485,0.6733033472983152
0.24535200000020405,0.66385873482044577,0.67998963970694604
0.24535400000020405,0.66447364736080539,0.68667249308873579
0.24535600000020405,0.66527789669311221,0.69335060004505067
0.24535800000020405,0.6662654039493292,0.70002273844238516
0.24536000000020405,0.66720234347326601,7.51754214434186e-006
0.24536200000020406,0.66797241098380578,7.51754214434186e-006
0.24536400000020406,0.66862047628134946,7.51754214434186e-006
0.24536600000020406,0.66910917203471398,7.51754214434186e-006
0.24536800000020406,0.66944337229008255,7.51754214434186e-006
0.24537000000020406,0.66962783106868973,7.51754214434186e-006
0.24537200000020407,0.66966718512488255,7.51754214434186e-006
0.24537400000020407,0.66956595664247753,7.51754214434186e-006
0.24537600000020407,0.66932855587077189,7.51754214434186e-006
0.24537800000020407,0.66895928370155,7.51754214434186e-006
0.24538000000020407,0.6684623341883873,7.51754214434186e-006
0.24538200000020408,0.6678417970095315,7.51754214434186e-006
0.24538400000020408,0.6671016598756081,7.51754214434186e-006
0.24538600000020408,0.66624581088337431,7.51754214434186e-006
0.24538800000020408,0.66527804081671227,7.51754214434186e-006
0.24539000000020408,0.66444667728527473,0.63986666987148055
0.24539200000020409,0.66384805856160845,0.64655077380848525
0.24539400000020409,0.66341954079037802,0.6532371799039538
0.24539600000020409,0.66321315726461005,0.65992571762762964
0.24539800000020409,0.66322201544031023,0.66661490905062237
0.24540000000020409,0.66343939317782485,0.6733033472983152
0.2454020000002041,0.66385873482044577,0.67998963970694604
0.2454040000002041,0.66447364736080539,0.68667249308873579
0.2454060000002041,0.66527789669311221,0.69335060004505067
0.2454080000002041,0.6662654039493292,0.70002273844238516
0.2454100000002041,0.66720234347326601,7.51754214434186e-006
0.24541200000020411,0.66797241098380578,7.51754214434186e-006
0.24541400000020411,0.66862047628134946,7.51754214434186e-006
0.24541600000020411,0.66910917203471398,7.51754214434186e-006
0.24541800000020411,0.66944337229008255,7.51754214434186e-006
0.24542000000020411,0.66962783106868973,7.51754214434186e-006
0.24542200000020412,0.66966718512488255,7.51754214434186e-006
0.24542400000020412,0.66956595664247753,7.51754214434186e-006
0.24542600000020412,0.66932855587077189,7.51754214434186e-006
0.24542800000020412,0.66895928370155,7.51754214434186e-006
0.24543000000020412,0.6684623341883873,7.51754214434186e-006
0.24543200000020413,0.6678417970095315,7.51754214434186e-006
0.24543400000020413,0.6671016598756081,7.51754214434186e-006
0.24543600000020413,0.66624581088337431,7.51754214434186e-006
0.24543800000020413,0.66527804081671227,7.51754214434186e-006
0.24544000000020413,0.66444667728527473,0.63986666987148055
0.24544200000020414,0.66384805856160845,0.64655077380848525
0.24544400000020414,0.66341954079037802,0.6532371799039538
0.24544600000020414,0.66321315726461005,0.65992571762762964
0.24544800000020414,0.66322201544031023,0.66661490905062237
0.24545000000020414,0.66343939317782485,0.6733033472983152
0.24545200000020415,0.66385873482044577,0.67998963970694604
0.24545400000020415,0.66447364736080539,0.68667249308873579
0.24545600000020415,0.66527789669311221,0.69335060004505067
0.24545800000020415,0.6662654039493292,0.70002273844238516
0.24546000000020415,0.66720234347326601,7.51754214434186e-006
0.24546200000020416,0.66797241098380578,7.51754214434186e-006
0.24546400000020416,0.66862047628134946,7.51754214434186e-006
0.24546600000020416,0.66910917203471398,7.51754214434186e-006
0.24546800000020416,0.66944337229008255,7.51754214434186e-006
0.24547000000020416,0.66962783106868973,7.51754214434186e-006
0.24547200000020417,0.66966718512488255,7.51754214434186e-006
0.24547400000020417,0.66956595664247753,7.51754214434186e-006
0.24547600000020417,0.66932855587077189,7.51754214434186e-006
0.24547800000020417,0.66895928370155,7.51754214434186e-006
0.24548000000020417,0.6684623341883873,7.51754214434186e-006
0.24548200000020418,0.6678417970095315,7.51754214434186e-006
0.24548400000020418,0.6671016598756081,7.51754214434186e-006
0.24548600000020418,0.66624581088337431,7.51754214434186e-006
0.24548800000020418,0.66527804081671227,7.51754214434186e-006
0.24549000000020418,0.66444667728527473,0.63986666987148055
0.24549200000020419,0.66384805856160845,0.64655077380848525
0.24549400000020419,0.66341954079037802,0.6532371799039538
0.24549600000020419,0.66321315726461005,0.65992571762762964
0.24549800000020419,0.66322201544031023,0.66661490905062237
0.24550000000020419,0.66343939317782485,0.6733033472983152
